,positionId,positionName,companyId,companyFullName,companySize,industryField,financeStage,firstType,secondType,thirdType,city,district,salary,workYear,education,positionAdvantage
0,9188775,php开发工程师,117816773,北京微淼财商科技有限公司,2000人以上,教育、数据服务,未融资,开发|测试|运维类,后端开发,PHP,北京,海淀区,20k-40k,5-10年,本科,周末双休不加班，五险一金入职交全额
1,9442981,php开发工程师,147,北京拉勾网络技术有限公司,500-2000人,"工具类产品,在线教育",D轮及以上,开发|测试|运维类,后端开发,PHP,深圳,南山区,20k-30k,不限,本科,专注于母婴服饰及周边用品
2,9630278,高级php开发工程师,122457385,杭州银勤科技有限公司,50-150人,"电商平台,物联网",A轮,开发|测试|运维类,后端开发,PHP,杭州,滨江区,15k-30k,5-10年,本科,国际化，快速晋升，互联网氛围，企业文化好
3,9149155,php开发工程师,1575,百度在线网络技术（北京）有限公司,2000人以上,"人工智能服务,信息检索,科技金融",上市公司,开发|测试|运维类,后端开发,PHP,北京,海淀区,20k-40k,1-3年,本科,发展前景
4,9630839,php开发工程师,123505404,北京少广科技集团有限公司,150-500人,"软件服务｜咨询,IT技术服务｜咨询",不需要融资,开发|测试|运维类,后端开发,PHP,成都,,15k-30k,3-5年,本科,待遇优厚
5,9630411,php开发工程师,122457385,杭州银勤科技有限公司,50-150人,"电商平台,物联网",A轮,开发|测试|运维类,后端开发,PHP,杭州,,13k-20k,3-5年,本科,国际化，快速晋升，互联网氛围，企业文化好
6,9624908,php开发工程师,120807009,上海零与壹软件有限公司,15-50人,工具类产品,不需要融资,开发|测试|运维类,后端开发,PHP,桂林,七星区,4k-8k,不限,大专,周末双休、五险一金、节日福利、13薪、带薪年假
7,9617744,高级php开发工程师,324203,广州伊智信息科技有限公司,500-2000人,"软件服务｜咨询,数据服务｜咨询",不需要融资,开发|测试|运维类,后端开发,PHP,广州,番禺区,15k-25k,3-5年,本科,年终奖、未来合伙人、分红、绩效奖金
8,9623896,php开发工程师,117535620,深圳极联信息技术开发有限公司,500-2000人,软件开发,未融资,开发|测试|运维类,后端开发,PHP,上海,闵行区,13k-18k,3-5年,大专,不加班 晋升大
9,9621166,php开发工程师,124411091,太逗科技集团有限公司,150-500人,"电商平台,新媒体",不需要融资,开发|测试|运维类,后端开发,PHP,北京,丰台区,12k-16k,3-5年,本科,内部晋升机会 团队氛围nice
10,9624228,php开发工程师,117535620,深圳极联信息技术开发有限公司,500-2000人,软件开发,未融资,开发|测试|运维类,后端开发,PHP,上海,闵行区,13k-16k,1-3年,大专,带薪年假，福利待遇好
11,9620761,php开发工程师,64275,上海盛也网络技术有限公司,50-150人,消费生活,未融资,开发|测试|运维类,后端开发,PHP,上海,闵行区,17k-25k,3-5年,本科,年终+补贴+免费晚餐
12,9630210,php开发工程师,122764464,北京新锦程人力资源有限公司,15-50人,"工具类产品,IT技术服务｜咨询,专业服务｜咨询",未融资,开发|测试|运维类,后端开发,PHP,北京,,30k-50k,1-3年,本科,薪资可谈
13,9243694,PHP/Go开发工程师(J10028),117816773,北京微淼财商科技有限公司,2000人以上,教育、数据服务,未融资,开发|测试|运维类,后端开发,后端开发,北京,海淀区,20k-40k,5-10年,大专,团队氛围nice，高成长
14,9624120,php开发工程师,19179,北京共兴伟业科技有限公司,15-50人,移动互联网,未融资,开发|测试|运维类,后端开发,PHP,北京,朝阳区,15k-20k,3-5年,本科,核心项目、年终奖金、扁平管理、团队氛围好
15,9322681,php后端开发工程师,1575,百度在线网络技术（北京）有限公司,2000人以上,"人工智能服务,信息检索,科技金融",上市公司,开发|测试|运维类,后端开发,PHP,北京,海淀区,25k-50k,1-3年,本科,自动驾驶 PHP 后端开发
16,9619498,PHP开发工程师,109217,志诺维思（北京）基因科技有限公司,50-150人,"人工智能服务,数据服务｜咨询",B轮,开发|测试|运维类,后端开发,PHP,北京,海淀区,15k-22k,5-10年,本科,全勤奖 定期体检团建 五险一金双休 节日福利
17,9220894,php开发工程师,118622,北京泛为信息科技有限公司,150-500人,营销服务｜咨询,不需要融资,开发|测试|运维类,后端开发,PHP,上海,浦东新区,15k-25k,1-3年,本科,高绩效；弹性作息
18,9611930,php开发工程师,22862,上海中软华腾软件系统有限公司,2000人以上,IT技术服务｜咨询,上市公司,开发|测试|运维类,后端开发,PHP,深圳,福田区,14k-19k,3-5年,大专,项目长期稳定 地铁口附近
19,6670355,php开发工程师,550260,广州乐炫网络科技有限公司,50-150人,游戏,未融资,开发|测试|运维类,后端开发,PHP,广州,天河区,10k-18k,3-5年,大专,五险一金 年底双薪 年终奖 包中晚餐
20,9582850,php开发工程师,206607,深圳纳实大数据技术有限公司,50-150人,,不需要融资,开发|测试|运维类,后端开发,PHP,深圳,南山区,15k-25k,1-3年,本科,腾讯云旗下大数据公司，平台大，福利待遇优
21,9040166,php开发工程师,120615748,海南安迈云网络技术有限公司,500-2000人,人工智能服务,不需要融资,开发|测试|运维类,后端开发,PHP,成都,高新区,9k-14k,1-3年,本科,职位发展 绩效奖金
22,9487747,php开发工程师,193353,杭州玩心不止网络科技有限公司,150-500人,游戏,不需要融资,开发|测试|运维类,后端开发,PHP,杭州,余杭区,18k-22k,3-5年,大专,发展前景极好 全年14薪 三餐免费 团队专业
23,9612192,php开发工程师,109597,广州逸趣信息科技有限公司,50-150人,"移动互联网,广告营销",天使轮,开发|测试|运维类,后端开发,PHP,广州,天河区,8k-13k,1-3年,大专,工作氛围佳、下午茶福利、团建活动、老板nice
24,8440038,PHP工程师,1373,上海喜马拉雅科技有限公司,2000人以上,音频｜视频媒体,D轮及以上,开发|测试|运维类,后端开发,PHP,北京,朝阳区,15k-30k,3-5年,本科,有前景 团队好 成长快
25,9343694,php开发工程师,51681,深圳市萌奇文化发展有限公司,50-150人,"移动互联网,文娱丨内容",A轮,开发|测试|运维类,后端开发,后端开发,上海,浦东新区,15k-25k,3-5年,本科,五险一金、团队氛围融洽
26,7390488,php开发工程师,4112,上海韩创网络科技有限公司,500-2000人,内容社区,不需要融资,开发|测试|运维类,后端开发,PHP,上海,浦东新区,14k-20k,3-5年,大专,五险一金、公司下午茶
27,9612295,php开发工程师,614456,江苏九一网络科技有限公司,150-500人,企业服务,A轮,开发|测试|运维类,后端开发,PHP,南京,雨花台区,8k-12k,1-3年,本科,虚拟股权 年底分红 五险一金 周末双休
28,9321957,PHP/GO开发工程师(J10056),117816773,北京微淼财商科技有限公司,2000人以上,教育、数据服务,未融资,开发|测试|运维类,后端开发,PHP,北京,海淀区,18k-35k,3-5年,大专,五险一金 发展空间 氛围好 交通便利
29,9365487,php高级开发工程师,117816773,北京微淼财商科技有限公司,2000人以上,教育、数据服务,未融资,开发|测试|运维类,后端开发,PHP,北京,海淀区,20k-35k,5-10年,本科,团队协作，用户数量大，决策清晰
30,6670355,php开发工程师,550260,广州乐炫网络科技有限公司,50-150人,游戏,未融资,开发|测试|运维类,后端开发,PHP,广州,天河区,10k-18k,3-5年,大专,五险一金 年底双薪 年终奖 包中晚餐
31,8124754,php开发工程师,124652,上海微创软件股份有限公司,2000人以上,IT技术服务｜咨询,不需要融资,开发|测试|运维类,后端开发,PHP,深圳,南山区,12k-14k,1-3年,本科,免费班车，免费早餐，夜宵卷，加班费
32,9497723,php开发工程师,123879511,阿尔西亚（广州）技术有限公司,50-150人,"IT技术服务｜咨询,软件服务｜咨询,人工智能服务",不需要融资,开发|测试|运维类,后端开发,PHP,广州,白云区,7k-12k,不限,本科,高速成长 周末双休 持续学习 人性化管理
33,5989218,PHP开发工程师,525743,建顺信息科技（广州）有限公司,50-150人,"软件服务｜咨询,物流平台",B轮,开发|测试|运维类,后端开发,PHP,广州,天河区,10k-14k,3-5年,大专,弹性工作 五险一金 年终奖金 双休
34,9564905,php开发工程师,210159,深圳市联软科技股份有限公司,500-2000人,信息安全,A轮,开发|测试|运维类,后端开发,PHP,广州,天河区,9k-14k,不限,本科,双休；绩效奖；年终奖；下午茶；餐补；车补
35,6907413,PHP工程师,29614,杭州推宝科技有限公司,50-150人,IT技术服务｜咨询,不需要融资,开发|测试|运维类,后端开发,PHP,杭州,西湖区,15k-30k,1-3年,本科,团队优秀、绩效奖金、餐补、月度团建
36,9343694,php开发工程师,51681,深圳市萌奇文化发展有限公司,50-150人,"移动互联网,文娱丨内容",A轮,开发|测试|运维类,后端开发,后端开发,上海,浦东新区,15k-25k,3-5年,本科,五险一金、团队氛围融洽
37,8507298,php开发工程师,34863,车轮互联科技（上海）股份有限公司,150-500人,工具类产品,D轮及以上,开发|测试|运维类,后端开发,PHP,上海,闵行区,20k-30k,3-5年,本科,氛围佳、福利好、发展空间大
38,9609252,php开发工程师,117535620,深圳极联信息技术开发有限公司,500-2000人,软件开发,未融资,开发|测试|运维类,后端开发,PHP,上海,闵行区,14k-18k,3-5年,大专,长期稳定
39,8284248,php开发工程师,5998,北京易多客信息技术有限公司,15-50人,"软件服务｜咨询,工具类产品",不需要融资,开发|测试|运维类,后端开发,PHP,成都,锦江区,14k-28k,不限,本科,高薪酬福利；人性化管理；舒适便捷的办公环境
40,9612295,php开发工程师,614456,江苏九一网络科技有限公司,150-500人,企业服务,A轮,开发|测试|运维类,后端开发,PHP,南京,雨花台区,8k-12k,1-3年,本科,虚拟股权 年底分红 五险一金 周末双休
41,7612010,php开发工程师,120807009,上海零与壹软件有限公司,15-50人,工具类产品,不需要融资,开发|测试|运维类,后端开发,PHP,上海,闵行区,8k-15k,不限,大专,周末双休、五险一金、节日福利、13薪、带薪年假
42,8335774,php开发工程师,327740,广州九一乐维信息科技有限公司,15-50人,"企业服务,信息安全",不需要融资,开发|测试|运维类,后端开发,PHP,广州,白云区,7k-13k,1年以下,大专,六险一金、超长年假、下午茶节日福利、体检旅游
43,9582850,php开发工程师,206607,深圳纳实大数据技术有限公司,50-150人,,不需要融资,开发|测试|运维类,后端开发,PHP,深圳,南山区,15k-25k,1-3年,本科,腾讯云旗下大数据公司，平台大，福利待遇优
44,7615304,php工程师,314155,钰真（上海）信息技术有限公司,150-500人,"电商平台,制造业",未融资,开发|测试|运维类,后端开发,PHP,上海,浦东新区,15k-20k,3-5年,本科,扁平管理 做五休二 轻松活跃办公氛围
45,9306687,高级php开发工程师,310001,四川易贷网金融信息服务有限公司,500-2000人,科技金融,未融资,开发|测试|运维类,后端开发,PHP,成都,锦江区,13k-17k,3-5年,本科,双休、六险一金、员工旅游、假日福利
46,6907413,PHP工程师,29614,杭州推宝科技有限公司,50-150人,IT技术服务｜咨询,不需要融资,开发|测试|运维类,后端开发,PHP,杭州,西湖区,15k-30k,1-3年,本科,团队优秀、绩效奖金、餐补、月度团建
47,8850018,php开发工程师,307964,武汉踏浪出海科技有限公司,50-150人,科技金融,A轮,开发|测试|运维类,后端开发,PHP,武汉,江夏区,11k-16k,1-3年,本科,技术牛人多 项目提成高 工作氛围好
48,8449679,高级PHP开发工程师,5858,瑞庭网络技术（上海）有限公司,500-2000人,居住服务,上市公司,开发|测试|运维类,后端开发,PHP,上海,浦东新区,18k-36k,5-10年,本科,技术大牛带你飞
49,8335774,php开发工程师,327740,广州九一乐维信息科技有限公司,15-50人,"企业服务,信息安全",不需要融资,开发|测试|运维类,后端开发,PHP,广州,白云区,7k-13k,1年以下,大专,六险一金、超长年假、下午茶节日福利、体检旅游
50,9458304,PHP,579328,广州市赛立得科技有限公司,50-150人,"IT技术服务｜咨询,制造业",未融资,开发|测试|运维类,后端开发,全栈,广州,荔湾区,9k-12k,3-5年,大专,双休 自主开发 非外包
51,6715244,php开发工程师,30865,深圳市爱聊科技有限公司,150-500人,"软件服务｜咨询,IT技术服务｜咨询",不需要融资,开发|测试|运维类,后端开发,PHP,深圳,南山区,15k-25k,3-5年,大专,双休，奖金下午茶团建等，高于行业薪资水平
52,9029744,高级php开发工程师,37990,广州富米科技有限公司,500-2000人,电商平台,C轮,开发|测试|运维类,后端开发,PHP,广州,荔湾区,15k-30k,5-10年,本科,阿里技术leader、期权、技术团队70+
53,9450086,高级PHP开发工程师,40115,RightCapital LLC,50-150人,软件服务｜咨询,A轮,开发|测试|运维类,后端开发,PHP,北京,朝阳区,25k-40k,5-10年,本科,六险一金 休闲小食 965不加班 英语外教
54,8060972,php开发工程师,34863,车轮互联科技（上海）股份有限公司,150-500人,工具类产品,D轮及以上,开发|测试|运维类,后端开发,PHP,上海,闵行区,20k-25k,5-10年,本科,氛围佳、福利好、发展空间大
55,8312364,php开发工程师,326530,珍岛信息技术（上海）股份有限公司,2000人以上,"移动互联网,企业服务",A轮,开发|测试|运维类,后端开发,PHP,上海,静安区,15k-30k,3-5年,本科,晋升空间大，有技术大牛
56,7615304,php工程师,314155,钰真（上海）信息技术有限公司,150-500人,"电商平台,制造业",未融资,开发|测试|运维类,后端开发,PHP,上海,浦东新区,15k-20k,3-5年,本科,扁平管理 做五休二 轻松活跃办公氛围
57,9291100,php开发工程师,72034,天下秀数字科技（集团）股份有限公司,500-2000人,营销服务｜咨询,上市公司,开发|测试|运维类,后端开发,PHP,北京,朝阳区,20k-25k,3-5年,本科,上市公司 独角兽企业 行业大牛
58,8399566,PHP开发工程师,73065,南方报业传媒集团,2000人以上,文化传媒,不需要融资,开发|测试|运维类,后端开发,PHP,广州,越秀区,20k-40k,不限,本科,大平台，互联网团队，国企福利，965，年金商业险
59,8108327,php开发工程师,451892,杭州耶旺国际贸易有限公司,50-150人,电商平台,不需要融资,开发|测试|运维类,后端开发,PHP,杭州,江干区,12k-16k,3-5年,本科,弹性工作，双休，不加班，五险一金，团建。
60,9537735,php开发工程师,84502297,深圳市法本信息技术股份有限公司,2000人以上,"人工智能服务,IT技术服务｜咨询",上市公司,开发|测试|运维类,后端开发,PHP,深圳,南山区,13k-22k,3-5年,大专,项目长期稳定
61,9291100,php开发工程师,72034,天下秀数字科技（集团）股份有限公司,500-2000人,营销服务｜咨询,上市公司,开发|测试|运维类,后端开发,PHP,北京,朝阳区,20k-25k,3-5年,本科,上市公司 独角兽企业 行业大牛
62,9310978,php开发工程师,49403,深圳源中瑞科技有限公司,50-150人,"移动互联网,电商",未融资,开发|测试|运维类,后端开发,PHP,深圳,龙华新区,6k-12k,1-3年,本科,五险一金 带薪年假 健身房 晋升机制
63,9247977,php开发工程师,46188,北京小牛互联科技有限公司,150-500人,游戏,不需要融资,开发|测试|运维类,后端开发,PHP,北京,朝阳区,10k-17k,1-3年,本科,五险一金 补充医疗 员工餐
64,8958597,php开发工程师,457529,广州萌友网络科技有限公司,50-150人,游戏,未融资,开发|测试|运维类,后端开发,PHP,广州,天河区,8k-16k,1-3年,大专,多次调薪机会，你的能力决定你的薪资上
65,8312364,php开发工程师,326530,珍岛信息技术（上海）股份有限公司,2000人以上,"移动互联网,企业服务",A轮,开发|测试|运维类,后端开发,PHP,上海,静安区,15k-30k,3-5年,本科,晋升空间大，有技术大牛
66,9149752,php开发工程师,123688747,锦税（成都）信息科技有限公司,50-150人,"软件服务｜咨询,IT技术服务｜咨询,专业服务｜咨询",未融资,开发|测试|运维类,后端开发,PHP,成都,高新区,10k-15k,不限,大专,福利齐全 人性化管理
67,8474146,高级php开发工程师,5858,瑞庭网络技术（上海）有限公司,500-2000人,居住服务,上市公司,开发|测试|运维类,后端开发,PHP,北京,朝阳区,20k-35k,3-5年,本科,平台稳定+成长晋升+技术驱动+股票激励
68,6715244,php开发工程师,30865,深圳市爱聊科技有限公司,150-500人,"软件服务｜咨询,IT技术服务｜咨询",不需要融资,开发|测试|运维类,后端开发,PHP,深圳,南山区,15k-25k,3-5年,大专,双休，奖金下午茶团建等，高于行业薪资水平
69,9627159,php开发工程师,467414,食亨（上海）科技服务有限公司,500-2000人,营销服务｜咨询,B轮,开发|测试|运维类,后端开发,PHP,上海,,15k-30k,3-5年,本科,氛围好，空间大
70,5022965,PHP开发工程师,407876,马来西亚东南亚玩家商城股份有限公司成都代表处,50-150人,电商平台,未融资,开发|测试|运维类,后端开发,PHP,成都,成华区,5k-10k,1-3年,大专,"六险一金,带薪年假,周末双休,节日福利"
71,9266637,php开发工程师,51478,深圳小鹅网络技术有限公司,500-2000人,工具类产品,D轮及以上,开发|测试|运维类,后端开发,PHP,深圳,南山区,20k-35k,不限,本科,腾讯系；大牛多
72,9075276,高级php开发工程师,360527,曼迪匹艾（北京）科技服务有限公司,500-2000人,"企业服务,教育",不需要融资,开发|测试|运维类,后端开发,PHP,北京,通州区,15k-30k,3-5年,本科,五险一金、交通补助、餐补、定期体检
73,9327090,php开发工程师,46188,北京小牛互联科技有限公司,150-500人,游戏,不需要融资,开发|测试|运维类,后端开发,PHP,成都,锦江区,10k-17k,1-3年,本科,五险一金、带薪年假
74,8713169,php开发工程师,24995,上海泛微网络科技股份有限公司,2000人以上,软件服务｜咨询,上市公司,开发|测试|运维类,后端开发,PHP,上海,闵行区,14k-20k,1-3年,本科,包三餐，提供下午茶，周末双休，五险一金
75,9197677,php开发工程师,161317,湖北长江云新媒体集团有限公司,150-500人,"数据服务｜咨询,营销服务｜咨询,新媒体",未融资,开发|测试|运维类,后端开发,GO|Golang,武汉,武昌区,12k-15k,5-10年,本科,国有平台 福利完善 岗位培训
76,6739124,php开发工程师,193353,杭州玩心不止网络科技有限公司,150-500人,游戏,不需要融资,开发|测试|运维类,后端开发,PHP,杭州,余杭区,18k-22k,3-5年,本科,14薪；员工食堂；下午茶；境外旅行；年度体检
77,8309870,php开发工程师,193353,杭州玩心不止网络科技有限公司,150-500人,游戏,不需要融资,开发|测试|运维类,后端开发,PHP,杭州,余杭区,18k-22k,3-5年,本科,14薪；员工食堂；下午茶；
78,9376797,PHP开发工程师,94050,广州市新御运营管理有限公司,500-2000人,批发｜零售,不需要融资,开发|测试|运维类,后端开发,PHP,广州,天河区,10k-20k,不限,不限,"周末双休,工作氛围好"
79,9190871,高级php开发工程师,123688747,锦税（成都）信息科技有限公司,50-150人,"软件服务｜咨询,IT技术服务｜咨询,专业服务｜咨询",未融资,开发|测试|运维类,后端开发,PHP,成都,高新区,15k-30k,5-10年,大专,福利齐全 人性化管理
80,6793077,php开发工程师,112,广州爱拍网络科技有限公司,150-500人,"社交平台,音频｜视频媒体,MCN｜直播平台",D轮及以上,开发|测试|运维类,后端开发,PHP,广州,天河区,8k-13k,1-3年,本科,五险一金、晋升空间大
81,8294430,PHP开发工程师,3346,广州盛成妈妈网络科技股份有限公司,500-2000人,"电商平台,内容社区,内容资讯",B轮,开发|测试|运维类,后端开发,PHP,广州,天河区,10k-16k,1-3年,本科,百人技术团，五险一金，年底多薪，行业领军企业
82,8760529,高级php开发工程师,3346,广州盛成妈妈网络科技股份有限公司,500-2000人,"电商平台,内容社区,内容资讯",B轮,开发|测试|运维类,后端开发,PHP,广州,天河区,15k-20k,3-5年,本科,百人技术团，五险一金，年底多薪，行业领军企业
83,5752718,php开发工程师,457529,广州萌友网络科技有限公司,50-150人,游戏,未融资,开发|测试|运维类,后端开发,PHP,广州,天河区,10k-15k,1-3年,大专,发展好
84,1827296,PHP工程师,10613,九河信息技术（上海）有限公司,150-500人,电商平台,C轮,开发|测试|运维类,后端开发,PHP,上海,徐汇区,15k-20k,3-5年,本科,股权分红、五险一金
85,9596219,PHP开发工程师,366575,上海汇正财经顾问有限公司,500-2000人,"移动互联网,金融",未融资,开发|测试|运维类,后端开发,PHP,上海,普陀区,18k-22k,3-5年,本科,五险一金 绩效奖金 周末双休 氛围好
86,9139020,php工程师,304404,深圳趣运科技有限公司,50-150人,游戏,A轮,开发|测试|运维类,后端开发,PHP,深圳,宝安区,10k-18k,不限,本科,大牛带队，团队技术氛围浓厚，年终奖
87,7493359,高级php开发工程师,17275,数睿科技（深圳）有限公司,150-500人,生活服务,上市公司,开发|测试|运维类,后端开发,PHP,深圳,福田区,18k-25k,5-10年,本科,上市公司、高大上环境、高奖金、年轻化团队
88,8210582,php开发工程师,194169,博雅网络游戏开发（深圳）有限公司,150-500人,游戏,上市公司,开发|测试|运维类,后端开发,PHP,深圳,南山区,10k-20k,1-3年,本科,上市公司、发展空间
89,9296063,php开发工程师,122940819,北京紫牛云科技有限公司,150-500人,"软件服务｜咨询,人工智能服务",A轮,开发|测试|运维类,后端开发,PHP,北京,海淀区,10k-14k,3-5年,本科,五险一金，节日其他福利
90,9317855,PHP开发工程师,1952,北京悦活教育科技有限责任公司,50-150人,软件服务｜咨询,不需要融资,开发|测试|运维类,后端开发,PHP,北京,海淀区,20k-35k,3-5年,本科,薪酬合理 晋升明确 代码优雅 周末双休
91,9620761,php开发工程师,64275,上海盛也网络技术有限公司,50-150人,消费生活,未融资,开发|测试|运维类,后端开发,PHP,上海,闵行区,17k-25k,3-5年,本科,年终+补贴+免费晚餐
92,3204220,PHP开发工程师,100934,深圳市众云网有限公司,50-150人,信息安全,不需要融资,开发|测试|运维类,后端开发,PHP,深圳,南山区,10k-20k,3-5年,本科,"团队氛围好,五险一金,周末双休"
93,8377163,php开发工程师,132456,佛山顺德葡萄汽车租赁有限公司,50-150人,"企业服务,移动互联网",不需要融资,开发|测试|运维类,后端开发,PHP,佛山,顺德区,6k-8k,不限,本科,福利待遇好、发展前景大
94,8349083,php开发工程师,109987,广州三毛信息科技有限公司,15-50人,旅游｜出行,A轮,开发|测试|运维类,后端开发,PHP,广州,,10k-14k,3-5年,本科,五险 双休 不定时聚餐团建 生日会
95,8776683,php工程师,123308946,贵州一码教育科技有限公司,50-150人,"人工智能服务,教育｜培训,电商平台",未融资,开发|测试|运维类,后端开发,PHP,贵阳,观山湖区（金阳新区）,6k-10k,1-3年,本科,团队组建阶段 发展空间大
96,9573950,php开发工程师,113578,广东青藤教育科技有限公司,15-50人,"移动互联网,教育",不需要融资,开发|测试|运维类,后端开发,后端开发,广州,白云区,10k-16k,1-3年,本科,团队氛围，福利待遇
97,9110049,php开发工程师,463459,杭州云阶教育科技有限公司,15-50人,"移动互联网,企业服务",天使轮,开发|测试|运维类,后端开发,全栈,成都,金牛区,6k-10k,1-3年,本科,"免费健身房,开放办公,在线教育"
98,9439339,php开发工程师,149022,成都埃舍尔科技有限公司,50-150人,"移动互联网,文娱丨内容",A轮,开发|测试|运维类,后端开发,PHP,成都,高新区,8k-13k,3-5年,大专,技术大牛 五险一金 双休
99,9505684,智舱业务部_PHP高级研发工程师(小度助手),1575,百度在线网络技术（北京）有限公司,2000人以上,"人工智能服务,信息检索,科技金融",上市公司,开发|测试|运维类,后端开发,PHP,深圳,南山区,20k-40k,不限,本科,发展前景好
100,9321375,PHP开发工程师(J10052),117816773,北京微淼财商科技有限公司,2000人以上,教育、数据服务,未融资,开发|测试|运维类,后端开发,PHP,北京,海淀区,20k-40k,3-5年,本科,财商教育****
101,9340433,游戏研发部PHP/Go高级研发工程师,1575,百度在线网络技术（北京）有限公司,2000人以上,"人工智能服务,信息检索,科技金融",上市公司,开发|测试|运维类,后端开发,PHP,北京,海淀区,20k-40k,不限,本科,百度
102,9207840,PHP开发工程师(J10002),117816773,北京微淼财商科技有限公司,2000人以上,教育、数据服务,未融资,开发|测试|运维类,后端开发,PHP,北京,海淀区,20k-40k,3-5年,大专,财商教育头部，技术团队110+，技术氛围好
103,9139020,php工程师,304404,深圳趣运科技有限公司,50-150人,游戏,A轮,开发|测试|运维类,后端开发,PHP,深圳,宝安区,10k-18k,不限,本科,大牛带队，团队技术氛围浓厚，年终奖
104,1895791,高级PHP开发工程师,6040,北京奥鹏远程教育中心有限公司,50-150人,在线教育,不需要融资,开发|测试|运维类,后端开发,PHP,北京,海淀区,15k-30k,3-5年,大专,五险一金 补充医疗 节日福利 员工旅游
105,9321375,PHP开发工程师(J10052),117816773,北京微淼财商科技有限公司,2000人以上,教育、数据服务,未融资,开发|测试|运维类,后端开发,PHP,北京,海淀区,20k-40k,3-5年,本科,财商教育****
106,9340433,游戏研发部PHP/Go高级研发工程师,1575,百度在线网络技术（北京）有限公司,2000人以上,"人工智能服务,信息检索,科技金融",上市公司,开发|测试|运维类,后端开发,PHP,北京,海淀区,20k-40k,不限,本科,百度
107,9207840,PHP开发工程师(J10002),117816773,北京微淼财商科技有限公司,2000人以上,教育、数据服务,未融资,开发|测试|运维类,后端开发,PHP,北京,海淀区,20k-40k,3-5年,大专,财商教育头部，技术团队110+，技术氛围好
108,1827296,PHP工程师,10613,九河信息技术（上海）有限公司,150-500人,电商平台,C轮,开发|测试|运维类,后端开发,PHP,上海,徐汇区,15k-20k,3-5年,本科,股权分红、五险一金
109,1895791,高级PHP开发工程师,6040,北京奥鹏远程教育中心有限公司,50-150人,在线教育,不需要融资,开发|测试|运维类,后端开发,PHP,北京,海淀区,15k-30k,3-5年,大专,五险一金 补充医疗 节日福利 员工旅游
110,9487757,PHP开发工程师,637672,广州世安信息技术股份有限公司,500-2000人,企业服务,未融资,开发|测试|运维类,后端开发,PHP,广州,天河区,10k-13k,3-5年,本科,技术提升，行业前景，平台稳定，管理人性
111,6570120,PHP开发工程师,1686,北京奇艺世纪科技有限公司,2000人以上,音频｜视频媒体,上市公司,开发|测试|运维类,后端开发,PHP,成都,双流县,10k-16k,1-3年,不限,发展前景
